0,27.68
1,27.68
2,27.78
3,27.78
4,28.00
5,28.10
6,28.10
7,28.32
8,28.32
9,28.42
10,28.42
11,28.53
12,28.64
13,28.74
14,28.85
15,28.85
16,28.85
17,28.85
18,28.85
19,29.06
20,29.06
21,29.17
22,29.39
23,29.39
24,29.39
25,29.49
26,29.49
27,29.49
28,29.60
29,29.82
30,29.93
31,29.93
32,30.03
33,30.03
34,30.03
35,30.14
36,30.03
37,30.14
38,30.36
39,30.36
40,30.36
41,30.47
42,30.47
43,30.47
44,30.79
45,30.79
46,30.90
47,31.01
48,31.12
49,31.12
50,31.12
51,31.01
52,31.12
53,31.01
54,31.01
55,31.01
56,31.12
57,31.12
58,31.12
59,31.12
60,31.23
61,31.34
62,31.34
63,31.45
64,31.34
65,31.56
66,31.89
67,32.00
68,32.00
69,32.00
70,31.89
71,31.78
72,31.67
73,31.67
74,31.67
75,31.67
76,31.67
77,31.78
78,31.78
79,31.78
80,31.67
81,32.00
82,32.44
83,32.78
84,32.89
85,32.89
86,32.67
87,32.67
88,32.44
89,32.33
90,32.22
91,32.00
92,31.89
93,31.89
94,31.67
95,31.78
96,31.78
97,31.56
98,31.12
99,30.79
100,30.47
101,30.25
102,30.14
103,30.03
104,29.71
105,29.93
106,29.82
107,29.39
108,29.28
109,29.17
110,29.17
111,29.28
112,28.96
113,28.96
114,28.96
115,28.74
116,28.74
117,28.42
118,28.64
119,28.85
120,28.64
121,28.64
122,28.32
123,28.32
124,28.32
125,28.21
126,27.89
127,28.00
128,28.32
129,28.42
130,28.53
131,28.21
132,28.10
133,28.32
134,28.21
135,28.00
136,27.57
137,27.36
138,27.78
139,27.89
140,28.00
141,28.10
142,28.21
143,28.32
144,28.42
145,28.53
146,28.64
147,28.74
148,28.85
149,28.96
150,28.96
