Time,RawPot,RawTemp
0,255,511
1,255,511
2,255,511
3,255,511
4,255,510
5,255,511
6,255,511
7,255,511
8,255,511
9,255,511
10,255,511
11,255,511
12,255,511
13,255,511
14,255,511
15,255,511
16,255,511
17,255,512
18,255,511
19,255,511
20,255,512
21,255,511
22,255,511
23,255,511
24,255,511
25,255,511
26,255,511
27,255,512
28,255,511
29,255,511
30,255,511
31,255,511
32,255,511
33,255,512
34,255,511
35,255,511
36,255,512
37,255,511
38,255,511
39,255,512
40,255,511
41,255,511
42,255,511
43,255,511
44,255,511
45,255,511
46,255,511
47,255,511
48,255,511
49,255,512
50,255,511
51,255,511
52,255,511
53,255,511
54,255,511
55,255,511
56,255,512
57,255,511
58,255,511
59,255,511
60,255,511
61,255,511
62,255,511
63,255,511
64,255,511
65,255,511
66,255,511
67,255,511
68,255,511
69,255,511
70,255,511
71,255,511
72,255,511
73,255,511
74,255,511
75,255,511
76,255,512
77,255,511
78,255,510
79,255,511
80,255,511
81,255,511
82,255,511
83,255,511
84,255,511
85,255,511
86,255,511
87,255,511
88,255,511
89,255,512
90,255,511
91,255,510
92,255,511
93,255,511
94,255,511
95,255,511
96,255,511
97,255,511
98,255,511
99,255,511
100,255,511
101,255,511
102,255,511
103,255,511
104,255,510
105,255,511
106,255,512
107,255,511
108,255,511
109,255,511
110,255,511
111,255,511
112,255,511
113,255,511
114,255,510
115,255,511
116,255,511
117,255,511
118,255,511
119,255,512
120,255,511
121,255,511
122,255,511
123,255,510
124,255,510
125,255,511
126,255,511
127,255,511
128,255,511
129,255,511
130,255,511
131,255,511
132,255,511
133,255,511
134,255,511
135,255,510
136,255,510
137,255,511
138,255,511
139,255,510
140,255,510
141,255,511
142,255,510
143,255,510
145,255,511
146,254,511
147,248,510
148,241,510
149,232,510
150,223,510
151,213,511
152,204,511
153,194,511
154,186,510
155,176,510
156,164,510
157,153,510
158,141,510
159,136,510
160,136,511
161,136,510
162,136,511
163,136,510
164,136,510
165,136,511
166,136,510
167,136,510
168,136,510
169,136,511
170,136,511
171,136,511
172,134,511
173,132,510
174,129,511
175,125,511
176,120,511
177,114,511
178,108,511
179,102,511
180,95,511
181,88,511
182,80,511
183,72,512
184,64,511
185,56,511
186,48,511
187,40,511
188,31,511
189,23,511
190,15,512
191,9,512
192,2,512
193,0,513
194,0,512
195,0,512
196,0,512
197,0,512
198,0,512
199,0,512
200,0,512
201,0,512
202,0,512
203,0,513
204,0,512
205,0,512
206,0,513
207,0,512
208,0,513
209,0,513
210,0,513
211,0,513
212,0,513
213,0,513
214,0,514
215,0,514
216,0,514
217,0,513
218,0,514
219,0,514
220,0,515
221,0,514
222,0,514
223,0,514
224,0,514
225,0,515
226,0,514
227,0,515
228,0,515
229,0,515
230,0,515
231,0,515
232,0,514
233,0,515
234,0,515
235,0,515
236,0,515
237,0,515
238,0,515
239,0,516
240,0,516
241,0,516
242,0,516
243,0,516
244,0,516
245,0,517
246,0,516
247,0,516
248,0,516
249,0,517
250,0,517
251,0,517
252,0,518
253,0,517
254,0,517
255,0,517
256,0,517
257,0,518
258,0,517
259,0,517
260,0,518
261,0,518
262,0,518
263,0,518
264,0,518
265,0,518
266,0,518
267,0,518
268,0,518
269,0,518
270,0,518
271,0,518
272,0,518
273,0,518
274,0,519
275,0,519
276,0,519
277,0,519
278,0,519
279,0,519
280,0,519
281,0,519
282,0,519
283,0,519
284,0,519
285,0,519
286,0,520
287,0,520
288,0,520
289,0,520
290,0,520
291,0,521
292,0,520
293,0,520
294,0,520
295,0,520
297,0,520
298,0,520
299,0,521
300,0,520
301,0,521
302,0,521
303,0,521
304,0,522
305,0,521
306,0,521
307,0,521
308,0,521
309,0,522
310,0,522
311,0,521
312,0,522
313,0,522
314,0,523
315,0,522
316,0,522
317,0,522
318,0,521
319,0,522
320,0,522
321,0,522
322,0,522
323,0,521
324,0,522
325,0,522
326,0,522
327,0,522
328,0,522
329,0,523
330,0,522
331,0,523
332,0,523
333,0,523
334,0,523
335,0,523
336,0,523
337,0,523
338,0,524
339,0,523
340,0,523
341,0,523
342,0,523
343,0,523
344,0,523
345,0,523
346,0,524
347,0,523
348,0,524
349,0,524
350,0,523
351,0,524
352,0,524
353,0,524
354,0,524
355,0,524
356,0,524
357,0,524
358,0,524
359,0,524
360,0,525
361,0,524
362,0,524
363,0,524
364,0,524
365,0,525
366,0,525
367,0,525
368,0,524
369,0,525
370,0,525
371,0,525
372,0,525
373,0,525
374,0,525
375,0,525
376,0,525
377,0,525
378,0,525
379,0,525
380,0,525
381,0,525
382,0,525
383,0,525
384,0,526
385,0,525
386,0,526
387,0,525
388,0,525
389,0,526
390,0,525
391,0,526
392,0,525
393,0,526
394,0,526
395,0,526
396,0,526
397,0,526
398,0,526
399,0,526
400,0,526
401,0,526
402,0,526
403,0,526
404,0,526
405,0,525
406,0,526
407,0,525
408,0,526
409,0,526
410,0,526
411,0,526
412,0,526
413,0,526
414,0,526
415,0,526
416,0,526
417,0,526
418,0,526
419,0,526
420,0,526
421,0,526
422,0,527
423,0,526
424,0,527
425,0,527
426,0,527
427,0,527
428,0,527
429,0,527
430,0,527
431,0,527
432,0,527
433,0,527
434,0,527
435,0,527
436,0,527
437,0,528
438,0,527
439,0,527
440,0,527
441,0,527
442,0,527
443,0,527
