Time,Value
1932,99
1941,102
1951,104
1963,106
1973,107
1983,107
1993,104
2003,101
2014,102
2024,105
2035,110
2045,118
2056,128
2066,134
2076,137
2086,138
2098,136
2108,133
2118,130
2128,127
2139,127
2149,129
2160,133
2170,137
2181,148
2191,159
2201,167
2211,173
2222,180
2233,181
2243,183
2253,186
2264,190
2274,197
2284,201
2295,202
2306,201
2316,198
2326,192
2336,189
2347,192
2357,199
2368,207
2378,217
2388,228
2399,231
2409,231
2419,228
2430,224
2441,220
2451,219
2461,220
2471,223
2482,228
2493,233
2503,235
2513,232
2524,226
2534,219
2544,210
2554,205
2566,205
2576,207
2586,211
2596,216
2607,218
2617,218
2628,215
2638,211
2649,205
2659,203
2669,203
2679,199
2690,195
2701,190
2711,182
2721,171
2732,166
2742,159
2752,154
2763,150
2774,149
2784,150
2794,153
2804,157
2814,161
2826,161
2836,160
2846,151
2856,140
2867,129
2877,118
2887,111
2898,110
2909,111
2919,112
2929,112
2939,111
2950,107
2961,104
2971,101
2981,99
2991,99
3000,101
3010,106
3020,111
3032,116
3042,119
3052,119
3062,117
3073,115
3083,112
3094,113
3104,115
3115,119
3125,121
3135,124
3145,124
3155,122
3167,119
3177,116
3187,121
3197,130
3208,141
3218,155
3229,170
3239,178
3250,181
3260,181
3270,178
3280,174
3292,171
3302,170
3312,172
3322,176
3333,181
3343,186
3353,193
3364,199
3375,203
3385,205
3395,209
3405,210
3416,212
3427,216
3437,222
3447,227
3458,229
3468,229
3478,226
3488,222
3500,217
3510,216
3520,216
3530,218
3540,222
3551,226
3562,227
3572,227
3582,224
3593,220
3603,215
3613,213
3624,213
3635,215
3645,219
3655,224
3665,227
3676,227
3686,219
3697,208
3707,194
3718,182
3728,172
3738,171
3748,174
3760,178
3770,181
3780,181
3790,179
3801,175
3811,170
3821,166
3832,165
3843,166
3853,163
3863,158
3873,151
3884,142
3895,130
3905,122
3915,118
3926,114
3936,111
3946,111
3957,113
3968,116
3978,118
3988,120
3998,119
4008,116
4019,112
4030,109
4040,106
4050,105
4061,107
4071,109
4081,111
4092,114
4103,113
4113,111
4123,108
4133,105
4144,103
4154,103
4165,105
4175,108
4186,117
4196,128
4206,137
4216,144
4228,151
4238,151
4248,150
4258,151
4269,154
4279,158
4290,163
4300,167
4311,168
4321,166
4331,162
4341,158
4352,162
4363,170
4373,181
4383,194
4393,208
4404,215
4414,218
4425,218
4435,216
4446,211
4456,207
4466,206
4476,207
4487,211
4498,216
4508,221
4518,224
4529,225
4539,224
4549,221
4560,218
4571,217
4581,218
4591,221
4601,226
4612,231
4623,233
4633,232
4643,230
4654,226
4664,221
4674,219
4684,215
4696,211
4706,209
4716,207
4726,202
4737,200
4747,197
4758,192
4768,186
4779,183
4789,182
4799,184
4809,188
4819,193
4831,196
4841,197
4851,188
4861,175
4872,160
4882,145
4893,132
4903,129
4914,131
4924,133
4934,135
4944,136
4956,134
4966,130
4976,127
4986,123
4997,121
5007,122
5017,122
5028,122
5039,120
5049,118
5059,113
5069,108
5080,104
5091,101
5101,98
5110,98
5120,100
5130,102
5140,104
5150,107
5161,106
5172,104
5182,106
5192,109
5202,113
5213,119
5224,129
5234,136
5244,142
5255,146
5265,148
5275,147
5285,143
5297,140
5307,137
5317,136
5327,137
5338,141
5348,152
5359,166
5369,178
5380,188
5390,195
5400,194
5410,192
5422,192
5432,193
5442,197
5452,202
5463,207
5473,209
5483,209
5494,206
5505,202
5515,201
5525,203
5535,208
5545,215
5557,224
5567,230
5577,233
5587,233
5598,230
5608,226
5618,222
5629,220
5640,220
5650,223
5660,227
5670,232
5681,231
5692,227
5702,221
5712,213
5723,203
5733,198
5743,197
5754,199
5765,203
5775,208
5785,212
5795,212
5806,210
5816,207
5827,201
5837,197
5848,188
5858,180
5868,174
5878,168
5890,161
5900,158
5910,155
5920,150
5931,145
5941,141
5951,139
5962,140
5972,143
5983,146
5993,150
6003,152
6013,146
6025,137
6035,126
6045,116
6055,106
6066,103
6076,104
6087,106
6097,107
6108,109
6118,108
6128,106
6138,103
6149,100
6160,98
6169,98
6178,102
6189,110
6199,117
6209,123
6220,128
6231,128
6241,125
6251,122
6261,120
6272,119
6282,120
6293,124
6303,128
6313,131
6324,132
6334,131
6344,135
6355,141
6366,148
6376,157
6386,169
6396,176
6407,184
6417,190
6428,192
6438,192
6449,190
6459,186
6469,181
6479,179
6491,180
6501,183
6511,192
6521,204
6532,213
6542,220
6553,224
6563,222
6574,219
6584,217
6594,218
6604,220
6615,224
6626,229
6636,232
6646,233
6657,231
6667,228
6677,221
6688,216
6699,214
6709,213
6719,215
6729,220
6739,223
6750,223
6761,221
6771,218
6781,212
6792,209
6802,208
6812,210
6823,213
