Time,Value
225,181
235,187
244,191
253,197
263,203
272,205
281,207
290,208
301,209
310,210
319,210
328,212
337,212
347,213
356,213
366,213
375,215
385,215
394,216
403,216
412,216
421,218
432,218
441,219
450,218
459,219
468,220
478,219
487,220
497,220
506,221
516,218
525,214
534,211
543,207
552,204
563,200
572,196
581,192
590,188
600,184
609,182
618,182
628,182
637,181
647,181
656,180
665,181
674,181
684,177
693,173
703,167
712,162
721,156
731,151
740,146
749,139
758,133
769,127
778,125
787,124
796,123
805,123
815,121
824,121
834,121
843,121
852,120
862,118
871,117
880,116
889,115
900,113
909,111
918,110
927,108
936,107
946,106
955,106
965,106
974,104
984,105
993,105
1002,105
1012,106
1022,109
1034,114
1044,119
1054,125
1064,130
1075,134
1085,139
1096,142
1106,146
1117,148
1127,149
1137,149
1147,150
1158,150
1169,151
1179,155
1189,159
1200,164
1210,169
1220,175
1231,180
1242,185
1252,190
1262,196
1272,202
1283,204
1294,205
1304,206
1314,207
1325,207
1335,207
1345,209
1355,210
1367,212
1377,214
1387,216
1397,218
1408,220
1418,222
1429,224
1439,226
1449,226
1460,227
1470,227
1480,227
1490,227
1502,228
1512,226
1522,224
1532,221
1543,217
1553,214
1564,211
1574,209
1585,206
1595,203
1605,200
1615,199
1627,199
1637,199
1647,198
1657,198
1668,198
1678,194
1688,189
1699,183
1710,178
1720,172
1730,167
1740,161
1751,155
1762,149
1772,143
1782,140
1793,139
1803,139
1813,138
1823,138
1835,137
1845,137
1855,135
1865,132
1875,129
1886,126
1897,123
1907,120
1917,116
1928,113
1938,110
1948,107
1959,106
1970,105
1980,104
1990,103
2000,103
2011,105
2021,107
2032,110
2042,113
2053,115
2063,118
2073,121
2083,124
2095,127
2105,131
2115,133
2125,133
2136,134
2146,134
2156,135
