Time,Value
4648,233
4659,237
4669,239
4679,204
4690,193
4701,186
4711,181
4721,178
4731,187
4742,193
4752,199
4763,204
4773,200
4784,194
4794,188
4804,184
4814,179
4826,173
4836,183
4846,152
4856,150
4867,148
4877,140
4887,135
4898,131
4909,127
4919,125
4929,120
4939,117
4950,126
4961,135
4971,141
4981,135
4992,130
5002,128
5012,111
5023,105
5033,100
5044,98
5053,105
5063,102
5073,100
5084,98
5094,107
5104,104
5114,101
5125,99
5134,109
5144,107
5155,103
5166,101
5176,99
5185,136
5195,140
5206,139
5216,138
5227,135
5237,133
5248,131
5258,129
5268,141
5278,148
5289,158
5300,151
5310,147
5320,143
5330,140
5341,137
5351,164
5362,182
5372,193
5383,201
5393,207
5403,214
5413,209
5425,203
5435,198
5445,193
5455,188
5466,193
5476,200
5486,206
5497,211
5508,216
5518,231
5528,227
5538,221
5549,217
5560,210
5570,218
5580,224
5591,229
5601,234
5611,237
5622,242
5633,233
5643,227
5653,220
5663,214
5673,219
5684,207
5695,209
5705,213
5715,217
5726,219
5736,211
5746,205
5757,199
5768,194
5778,189
5788,198
5798,205
5809,210
5819,214
5830,219
5840,212
5851,167
5861,153
5871,146
5881,141
5893,135
5903,143
5913,152
5923,159
5934,157
5944,151
5955,147
5965,143
5976,139
5986,136
5996,134
6006,139
6017,124
6028,126
6038,117
6048,112
6059,107
6069,105
6079,102
6090,99
6099,108
6110,105
6120,102
6130,99
6139,111
6150,108
6161,105
6171,102
6181,114
6192,115
6202,115
6212,112
6223,123
6234,132
6244,139
6254,132
6264,130
6275,126
6285,124
6296,121
6306,118
6317,116
6327,123
6337,132
6347,173
6359,189
6369,186
6379,184
6389,180
6400,176
6410,173
6421,174
6431,183
6441,190
6452,195
6462,202
6472,197
6482,191
6494,186
6504,181
6514,196
6524,209
6535,219
6545,225
6556,230
6566,234
6577,239
6587,231
6597,225
6607,218
6618,212
6629,216
6639,222
6649,228
6660,232
6670,236
6680,234
6691,224
6702,216
6712,210
6722,205
6732,204
6743,210
6754,216
6764,221
6774,225
6785,230
6795,224
6805,217
6815,211
6827,206
6837,201
6847,171
6857,171
6867,175
6878,180
6889,179
6899,172
6909,167
6920,162
6930,158
6940,154
6950,149
6962,160
6972,167
6982,174
6992,177
7003,171
7013,132
7024,120
7034,113
7045,110
7055,106
7065,102
7075,113
7087,124
7097,119
7107,115
7117,112
7128,109
7138,107
7148,104
7159,102
7170,99
7179,111
7189,110
7199,109
7209,107
7221,104
