Time,Value
953,97
962,96
970,99
978,107
988,101
997,111
1006,97
1015,132
1026,138
1037,139
1047,138
1057,136
1068,137
1078,148
1088,156
1099,164
1110,160
1120,156
1130,151
1140,148
1150,144
1162,141
1172,138
1182,184
1192,200
1203,208
1213,215
1223,212
1234,207
1245,201
1255,197
1265,192
1275,197
1286,204
1297,210
1307,215
1317,219
1328,218
1338,211
1348,218
1358,214
1370,209
1380,216
1390,222
1400,227
1411,232
1421,236
1432,241
1442,232
1453,225
1463,219
1473,213
1483,216
1495,223
1505,228
1515,213
1525,213
1536,212
1546,204
1556,198
1567,192
1577,188
1588,182
1598,190
1608,196
1618,203
1630,208
1640,211
1650,203
1660,198
1671,192
1681,154
1691,140
1702,132
1713,137
1723,145
1733,153
1743,147
1754,142
1765,138
1775,134
1785,131
1796,128
1806,125
1816,130
1826,139
1838,148
1848,123
1858,113
1868,109
1879,105
1889,102
1900,99
1909,108
1920,105
1930,102
1940,100
1950,97
1960,107
1971,104
1981,102
1991,99
2000,111
2011,129
2021,130
2032,129
2042,128
2053,126
2063,124
2073,120
2083,129
2095,139
2105,148
2115,143
2125,139
2136,135
2146,132
2156,128
2167,126
2178,124
2188,168
2198,185
2208,195
2219,203
2230,200
2240,195
2250,191
2260,186
2271,182
2281,182
2291,190
2302,197
2313,203
2323,208
2333,207
2343,200
2354,215
2365,214
2375,210
2385,214
2396,221
2406,226
2416,230
2427,235
2438,239
2448,234
2458,227
2468,221
2479,215
2489,216
2500,222
2510,227
2521,221
2531,223
2541,226
2551,220
2563,212
2573,206
2583,201
2593,195
2604,204
2614,209
2624,215
2635,219
2646,224
2656,219
2666,213
2676,208
2686,170
2698,156
2708,148
2718,155
2728,161
2739,168
2749,169
2760,162
2770,157
2781,153
2791,149
2801,145
2811,142
2822,147
2833,156
2843,163
2853,133
2864,121
2874,114
2884,109
2895,105
2906,103
2916,100
2926,96
2935,106
2946,103
2956,101
2967,98
2976,107
2987,104
2997,102
3007,99
3016,119
3027,119
3038,118
3048,116
3058,113
3068,112
3079,110
3089,112
3100,123
3110,132
3121,127
3131,124
3141,121
3151,117
3163,115
3173,113
3183,139
3193,160
3204,172
3214,180
3224,189
3235,185
3246,180
3256,176
3266,172
3276,168
3287,163
3298,173
3308,180
3318,186
3329,192
3339,191
3349,215
3360,214
3371,211
3381,208
3391,208
3401,215
3411,221
3422,226
3433,230
3443,234
3453,231
3464,224
3474,218
3484,212
3495,210
3506,217
3516,219
3526,224
3536,228
3547,232
3558,230
3568,223
3578,217
3589,211
3599,205
3609,212
3619,218
3631,223
3641,227
3651,232
3661,232
3672,224
3682,186
3693,175
3703,167
3714,161
3724,170
3734,177
3744,183
3755,190
3766,183
3776,176
3786,171
3796,167
3807,163
3817,159
3828,165
3838,173
3849,147
3859,138
3869,128
3879,123
3891,118
3901,114
3911,111
3921,109
3932,106
3942,112
3952,122
3963,125
3974,121
3984,117
3994,113
4004,111
4015,107
4026,103
4036,102
4046,104
4057,114
4067,119
4077,115
4087,112
4099,109
4109,107
4119,104
4129,101
4140,99
4149,109
4160,106
4170,104
4180,128
4191,134
4201,147
4211,158
4221,167
4233,173
4243,167
4253,163
4263,159
4274,156
4284,152
4295,148
4305,153
4316,162
4326,169
4336,176
4346,211
4358,211
4368,208
4378,205
4388,200
4399,199
4409,207
4419,213
4430,219
4441,223
4451,228
4461,223
4471,217
4482,210
4493,206
4503,201
4513,216
4524,223
4534,228
4544,232
4554,236
4566,236
4576,229
4586,222
4596,216
4606,210
4617,219
4628,224
4638,229
