Time,Value
3800,174
3810,174
3820,174
3831,174
3842,173
3852,170
3862,166
3872,161
3883,155
3894,150
3904,145
3914,138
3924,133
3935,127
3945,121
3956,119
3966,118
3977,117
3987,116
3997,115
4007,114
4018,114
4029,113
4039,113
4049,112
4060,112
4070,111
4080,111
4091,110
4102,109
4112,109
4122,108
4132,108
4143,108
4153,108
4164,108
4174,108
4185,110
4195,115
4205,119
4215,124
4227,129
4237,135
4247,140
4257,145
4268,150
4278,155
4289,158
4299,159
4310,159
4320,160
4330,160
4340,161
4350,165
4362,170
4372,174
4382,179
4392,184
4403,189
4413,195
4424,200
4434,204
4445,210
4455,212
4465,213
4475,214
4486,214
4497,215
4507,215
4517,216
4528,217
4538,218
4548,219
4559,220
4570,221
4580,222
4590,223
4600,224
4611,225
4622,226
4632,226
4642,226
4653,226
4663,226
4673,226
4683,224
4695,221
4705,218
4715,214
4725,211
4736,207
4746,203
4757,200
4767,196
4777,193
4788,192
4798,191
4808,191
4818,191
4830,191
4840,190
4850,186
4860,182
4871,176
4881,170
4892,164
4902,159
4913,153
4923,148
4933,142
4943,135
4955,132
4965,131
4975,130
4985,129
4996,129
5006,129
5016,127
5027,125
5038,123
5048,121
5058,118
5068,116
5079,113
5090,110
5100,108
5110,106
5121,105
5131,104
5141,104
5151,103
5163,103
5173,102
5183,105
5193,108
5203,112
5214,116
5225,119
5235,123
5245,127
5256,130
5266,134
5276,138
5287,140
5298,141
5308,141
5318,142
5328,142
5339,143
5349,146
5360,151
5370,156
5381,162
5391,167
5401,173
5411,179
5423,185
5433,191
5443,197
5453,199
5464,200
5474,201
5484,202
5495,202
5506,202
5516,204
5526,207
5536,209
5547,211
5558,214
5568,216
5578,219
5588,221
5599,223
5609,225
5620,226
5630,227
5641,227
5651,228
5661,228
5671,228
5682,226
5693,224
5703,222
5713,220
5724,218
5734,216
5744,214
5755,211
5766,209
5776,206
5786,206
5796,205
5807,205
5817,205
5828,205
5838,205
5849,201
5859,196
5869,192
5879,187
5891,181
5901,175
5911,169
5921,163
5932,157
5942,151
5953,149
5963,148
5974,147
5984,146
5994,146
6004,146
6014,143
6026,140
6036,136
6046,132
6056,128
6067,124
6077,120
6088,117
6098,113
6109,108
6119,106
6129,105
6139,105
6150,104
6161,104
6171,103
6181,105
6192,106
6202,108
6212,110
6223,112
6234,114
6244,116
6254,119
6264,121
6275,124
6286,125
6296,125
6306,126
6317,126
6327,126
6337,126
6347,129
6359,135
6369,141
6379,146
6389,152
6400,158
6410,163
6421,169
6431,175
6441,181
6452,183
6462,185
6472,185
6482,186
6494,187
6504,187
6514,190
6524,193
6535,197
6545,200
6556,204
6566,207
6577,211
6587,215
6597,219
6607,223
6619,224
6629,225
6639,225
6649,225
6660,226
6670,226
6680,225
6691,225
6702,224
6712,223
6722,222
6732,221
6743,220
6754,219
6764,218
6774,217
6785,217
6795,217
6805,217
6815,217
6827,217
6837,217
6847,213
6857,208
6867,204
6878,199
6889,194
6899,189
6909,184
6920,179
6930,174
6940,169
6951,167
