Time,Value
63,127
71,129
79,130
88,131
96,131
105,131
114,150
123,144
133,146
142,159
151,143
160,162
171,148
180,181
189,197
198,185
207,211
217,195
226,206
236,207
245,197
254,216
264,196
273,215
282,208
291,205
302,218
311,195
320,223
329,208
338,210
348,219
357,204
367,229
376,210
386,220
395,220
404,209
413,227
422,208
433,225
442,219
451,214
460,226
470,204
479,231
488,217
498,219
507,226
517,185
526,199
535,174
544,185
553,185
564,175
573,196
582,166
591,185
601,179
610,176
619,190
629,168
638,189
648,175
657,179
666,187
675,171
685,154
694,125
704,131
713,131
722,122
732,134
741,115
750,126
759,120
770,120
779,135
788,114
797,126
806,112
816,120
825,130
835,115
844,119
854,101
863,109
872,110
881,103
890,114
901,99
909,97
917,100
926,104
935,117
945,99
953,97
962,96
970,100
979,103
989,117
998,99
1006,97
1015,134
1026,139
1037,140
1047,139
1057,137
1068,138
1078,149
1088,157
1099,165
1110,161
1120,156
1130,152
1140,148
1150,145
1162,143
1172,139
1182,186
1192,200
1203,209
1213,215
1223,213
1234,207
1245,203
1255,198
1265,193
1275,199
1286,206
1297,211
1307,216
1317,221
1328,220
1338,212
1348,220
1358,216
1370,210
1380,218
1390,224
1400,229
1411,233
1421,237
1432,243
1442,234
1453,228
1463,221
1473,215
1483,219
1495,225
1505,231
1515,215
1525,215
1536,214
